source_zip,package,filename,kind,size_bytes
Client_REFERENCE_source-only_20260625_1447(4).zip,DBXClientDriver290,DBXClientDriver290.bpl_bak,backup,441832
Client_REFERENCE_source-only_20260625_1447(4).zip,DBXCommonDriver200,DBXCommonDriver200.bpl,active,2372472
Client_REFERENCE_source-only_20260625_1447(4).zip,DbxCommonDriver250,DbxCommonDriver250.bpl,active,2302320
Client_REFERENCE_source-only_20260625_1447(4).zip,DbxCommonDriver250,DbxCommonDriver250.bpl_bak,backup,2302320
Client_REFERENCE_source-only_20260625_1447(4).zip,DBXCommonDriver280,DBXCommonDriver280.bpl,active,1974688
Client_REFERENCE_source-only_20260625_1447(4).zip,DBXCommonDriver280,DBXCommonDriver280.bpl_bak,backup,1974688
Client_REFERENCE_source-only_20260625_1447(4).zip,DBXCommonDriver290,DBXCommonDriver290.bpl,active,1961960
Client_REFERENCE_source-only_20260625_1447(4).zip,DBXCommonDriver290,DBXCommonDriver290.bpl_bak,backup,1961960
Client_REFERENCE_source-only_20260625_1447(4).zip,DCLSer70,DCLSer70.bpl,active,26624
Client_REFERENCE_source-only_20260625_1447(4).zip,dclusr70,dclusr70.bpl,active,7680
Client_REFERENCE_source-only_20260625_1447(4).zip,ddmMid10,ddmMid10.bpl,active,4603904
Client_REFERENCE_source-only_20260625_1447(4).zip,ddmMid10_XE10,ddmMid10_XE10.bpl,active,140800
Client_REFERENCE_source-only_20260625_1447(4).zip,ddmMid10_XE10,ddmMid10_XE10.bpl_bak,backup,140800
Client_REFERENCE_source-only_20260625_1447(4).zip,ddmMid10_XE6,ddmMid10_XE6.bpl,active,116224
Client_REFERENCE_source-only_20260625_1447(4).zip,designide200,designide200.bpl,active,1603448
Client_REFERENCE_source-only_20260625_1447(4).zip,designide250,designide250.bpl,active,2008432
Client_REFERENCE_source-only_20260625_1447(4).zip,designide250,designide250.bpl_bak,backup,2008432
Client_REFERENCE_source-only_20260625_1447(4).zip,designide280,designide280.bpl,active,2004896
Client_REFERENCE_source-only_20260625_1447(4).zip,designide280,designide280.bpl_bak,backup,2004896
Client_REFERENCE_source-only_20260625_1447(4).zip,designide290,designide290.bpl,active,2114536
Client_REFERENCE_source-only_20260625_1447(4).zip,designide290,designide290.bpl_bak,backup,2114536
Client_REFERENCE_source-only_20260625_1447(4).zip,designide70,designide70.bpl,active,625664
Client_REFERENCE_source-only_20260625_1447(4).zip,designideresources280,designideresources280.bpl,active,7617952
Client_REFERENCE_source-only_20260625_1447(4).zip,designideresources280,designideresources280.bpl_bak,backup,7617952
Client_REFERENCE_source-only_20260625_1447(4).zip,designideresources290,designideresources290.bpl,active,7752680
Client_REFERENCE_source-only_20260625_1447(4).zip,designideresources290,designideresources290.bpl_bak,backup,7752680
Client_REFERENCE_source-only_20260625_1447(4).zip,DevicePackage,DevicePackage.bpl,active,173568
Client_REFERENCE_source-only_20260625_1447(4).zip,DevicePackage,DevicePackage.bpl_bak,backup,173568
Client_REFERENCE_source-only_20260625_1447(4).zip,dipstudiowin280,dipstudiowin280.bpl,active,432640
Client_REFERENCE_source-only_20260625_1447(4).zip,dipstudiowin280,dipstudiowin280.bpl_bak,backup,432640
Client_REFERENCE_source-only_20260625_1447(4).zip,dipstudiowindataset280,dipstudiowindataset280.bpl,active,38400
Client_REFERENCE_source-only_20260625_1447(4).zip,dipstudiowindataset280,dipstudiowindataset280.bpl_bak,backup,38400
Client_REFERENCE_source-only_20260625_1447(4).zip,DsgnCPortDXE,DsgnCPortDXE.bpl,active,151552
Client_REFERENCE_source-only_20260625_1447(4).zip,DsgnCPortDXE,DsgnCPortDXE.bpl_bak,backup,151552
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnap200,dsnap200.bpl,active,416120
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnap250,dsnap250.bpl,active,410480
